===== Starting battle of <RussianRoulette> vs <ScribeBot> with memory tape size: 20 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 19< | 0 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 20< | 0 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 20< | 0 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 20 | 0< | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 20 | 1< | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 20< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 20< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 21< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 21< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 22< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 22< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 23< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 23< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 24< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 24< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 25< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 25< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 26< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 26< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 27< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 27< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 28< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 28< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 29< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 29< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 30< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 30< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 31< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 31< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 32< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 32< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 33< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 33< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 34< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 34< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 35< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 35< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 36< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 36< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 37< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 37< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 38< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 38< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 39< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 39< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 40< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 40< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 41< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 41< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 42< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 42< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 43< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 43< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 44< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 44< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 45< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 45< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 46< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 46< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 47< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 47< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 48< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 48< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 49< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 49< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 50< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 50< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 51< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 51< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 52< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 52< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 53< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 53< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 54< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 54< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 55< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 55< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 56< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 56< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 57< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 57< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 58< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 58< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 59< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 59< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 60< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 60< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 61< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 61< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 62< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 62< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 63< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 63< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 64< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 64< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 65< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 65< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 66< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 66< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 67< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 67< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 68< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 68< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 69< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 69< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 70< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 70< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 71< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 71< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 72< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 72< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 73< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 73< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 74< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 74< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 75< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 75< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 76< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 76< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 77< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 77< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 78< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 78< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 79< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 79< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 80< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 80< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 81< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 81< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 82< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 82< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 83< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 83< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 84< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 84< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 85< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 85< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 86< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 86< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 87< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 87< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 88< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 88< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 89< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 89< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 90< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 90< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 91< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 91< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 92< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 92< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 93< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 93< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 94< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 94< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 95< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 95< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 96< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 96< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 97< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 97< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 98< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
[ 128 | -1 | 0 | -1 | 0 | -1 | 0 | -1 | 98< | 1 | >-10 | 0 | 0 | 0 | 0 | 19 | 128 | -19 | 128 | 128 ]
